target,pos,context,context_pos,freq,lmi,
compensation,NN,for,P,56033,98660.019006483,
compensation,NN,of,P,32661,6387.45203374765,
competence,NN,of,P,23121,25014.3687390303,
competition,NN,be,V,85713,-4042.4018910155,
competition,NN,for,P,58953,51319.6504111598,
competition,NN,from,P,31268,33439.2462271891,
competition,NN,in,P,93777,70225.7501437054,
competition,NN,of,P,81888,14224.6653176023,
competition,NN,with,P,32524,19313.0897316997,
competitor,NN,be,V,21023,-460.475651221613,
competitor,NN,of,P,22611,7177.61125035253,
compilation,NN,of,P,25354,35313.2361081833,
complaint,NN,about,P,44780,120728.335479532,
complaint,NN,be,V,78338,13769.1254218826,
complaint,NN,from,P,22971,24670.316274558,
complaint,NN,have,V,33427,18253.8666422365,
complaint,NN,in,P,24751,-6690.08059299627,
complaint,NN,make,V,24835,47099.1067557391,
complaint,NN,of,P,75496,30601.1992874282,
complaint,NN,that,P,29446,26708.5117555806,
complaint,NN,with,P,26187,18068.8886825782,
completion,NN,of,P,114709,197756.19074902,
complex,NN,be,V,23036,141.475998306771,
complex,NN,of,P,24346,7984.84942486149,
complexity,NN,of,P,108924,183313.489262715,
compliance,NN,in,P,27430,17599.1571513614,
compliance,NN,of,P,22916,509.136877561344,
compliance,NN,with,P,77805,201364.293800785,
complication,NN,of,P,26584,24554.8015069027,
component,NN,be,V,71771,-8218.34725040584,
component,NN,for,P,24525,2541.98435512231,
component,NN,in,P,37972,-1710.00891069036,
component,NN,of,P,202073,239893.692133149,
composer,NN,of,P,20067,8762.95635038058,
composition,NN,in,P,21506,9955.69966000547,
composition,NN,of,P,69240,82574.9544012445,
compound,NN,be,V,20764,1330.87097380052,
compound,NN,of,P,24689,12437.2095546735,
compromise,NN,be,V,20083,7054.99082997125,
computer,NN,as,P,26299,486.38903707395,
computer,NN,at,P,31914,12161.819910324,
computer,NN,be,V,128463,-42490.5764909538,
computer,NN,by,P,25270,1586.42073240298,
computer,NN,for,P,57711,9290.88045989806,
computer,NN,from,P,38346,22442.3543309127,
computer,NN,game,NN,26041,70858.9225438458,
computer,NN,have,V,46630,-5696.93930896486,
computer,NN,in,P,96341,8439.25913673055,
computer,NN,of,P,137053,66.9478689067952,
computer,NN,on,P,130236,168761.145324982,
computer,NN,program,NN,22104,61196.4760659129,
computer,NN,science,NN,41269,167699.340916809,
computer,NN,system,NN,41546,113624.390864593,
computer,NN,that,P,26336,-5417.90957619345,
computer,NN,use,V,52014,99894.5125136314,
computer,NN,with,P,63038,35763.6189532129,
computing,NN,of,P,22751,10542.7260498206,
con,NN,pro,NN,25588,242517.210875325,
concentration,NN,be,V,25886,-12559.2024859065,
concentration,NN,camp,NN,23931,145777.114413184,
concentration,NN,high,ADJ,21532,73045.4019547654,
concentration,NN,in,P,40263,26680.8021605202,
concentration,NN,of,P,103328,120434.514739995,
concept,NN,as,P,23098,7267.18803209124,
concept,NN,be,V,98627,-16682.0318642804,
concept,NN,for,P,25147,-6130.9643469958,
concept,NN,have,V,23444,-8999.87854069538,
concept,NN,in,P,48413,-8453.5580494872,
concept,NN,new,ADJ,20767,35166.0964541647,
concept,NN,of,P,363192,508819.938752652,
concept,NN,on,P,20104,-2949.35134886435,
concept,NN,that,P,33711,15745.7077144796,
concept,NN,with,P,28857,6113.74767601603,
conception,NN,of,P,73927,129464.808538169,
concern,NN,about,P,154234,468091.469099191,
concern,NN,be,V,196947,39363.6180995554,
concern,NN,by,P,20587,-799.655300123689,
concern,NN,express,V,58156,292331.959534829,
concern,NN,for,P,100392,82116.7464703965,
concern,NN,have,V,82267,45155.4714418613,
concern,NN,in,P,41726,-26948.1190050128,
concern,NN,of,P,193150,86323.4521555531,
concern,NN,over,P,41931,98694.1921184606,
concern,NN,raise,V,48046,196716.068118515,
concern,NN,that,P,95631,113530.656462963,
concern,NN,with,P,57987,34047.1819730895,
concert,NN,be,V,22092,-8714.55805758716,
concert,NN,in,P,46950,50025.5493555906,
concert,NN,of,P,22370,-2582.36072076697,
conclusion,NN,at,P,23538,28415.830250328,
conclusion,NN,be,V,71604,15418.3874012143,
conclusion,NN,draw,V,25537,123209.672117583,
conclusion,NN,in,P,47288,23953.2703353041,
conclusion,NN,of,P,71755,34726.4116625338,
conclusion,NN,reach,V,22967,104980.68495412,
conclusion,NN,that,P,91495,198562.878980947,
condemnation,NN,of,P,20518,32272.8302074798,
condition,NN,as,P,55437,24565.9931975958,
condition,NN,at,P,20758,-7682.73147855019,
condition,NN,be,V,201175,-40899.7498578624,
condition,NN,by,P,26400,-5664.18538904478,
condition,NN,for,P,109508,52614.4538280225,
condition,NN,good,ADJ,56948,92969.6936475823,
condition,NN,have,V,43159,-22468.7388930496,
condition,NN,in,P,229641,145855.022902725,
condition,NN,medical,ADJ,30882,112873.979918344,
condition,NN,not,ADV,21189,-7471.06680130489,
condition,NN,of,P,305133,146400.107703948,
condition,NN,on,P,65364,18652.0316507554,
condition,NN,other,ADJ,24366,20213.3628650327,
condition,NN,such,ADJ,35209,61838.2483504752,
condition,NN,term,NN,74566,265060.189203237,
condition,NN,that,P,55147,11705.8093884085,
condition,NN,under,P,80517,251086.655860967,
condition,NN,weather,NN,31950,138147.870284551,
condition,NN,with,P,60092,11922.0069069589,
condition,NN,work,V,25639,36773.1503231568,
conditioning,NN,air,NN,42497,298518.310351772,
conduct,NN,be,V,20857,-6609.52922030868,
conduct,NN,in,P,20593,7752.64926527833,
conduct,NN,of,P,90786,128956.15265032,
conference,NN,annual,ADJ,26134,121911.76255533,
conference,NN,at,P,78925,140664.53954602,
conference,NN,be,V,82356,-23029.1494075473,
conference,NN,for,P,36682,7466.60906966373,
conference,NN,in,P,101380,64305.4532714769,
conference,NN,of,P,79995,-3375.27448776145,
conference,NN,on,P,55357,51813.4169687828,
conference,NN,press,NN,56323,318475.33024939,
conference,NN,with,P,23982,2317.18039347484,
confession,NN,of,P,21069,24065.6168795629,
confidence,NN,be,V,31078,-22682.3943901987,
confidence,NN,have,V,50806,49975.0832492026,
confidence,NN,in,P,127690,177407.057249717,
confidence,NN,of,P,74475,30581.854523998,
confidence,NN,that,P,34077,36530.9357602409,
confidence,NN,with,P,43191,52229.8799097166,
configuration,NN,of,P,29711,13477.0410853066,
confine,NN,of,P,22471,49059.1306921517,
confirmation,NN,of,P,35158,38585.1041076679,
conflict,NN,be,V,62443,-13015.0776762238,
conflict,NN,between,P,43462,152454.686582284,
conflict,NN,in,P,85265,68995.1183748618,
conflict,NN,interest,NN,39729,167645.062029586,
conflict,NN,of,P,133453,109109.408692967,
conflict,NN,with,P,61351,84905.1641060864,
confusion,NN,be,V,27704,2182.15692394599,
confusion,NN,of,P,41577,31235.1401227487,
congregation,NN,of,P,27307,27083.139695064,
conjunction,NN,in,P,116219,269606.838977769,
conjunction,NN,with,P,114479,367320.186814834,
connection,NN,Internet,NN,32178,148676.776366197,
connection,NN,be,V,85125,-21784.2570093349,
connection,NN,between,P,94092,369105.17022843,
connection,NN,for,P,27267,-2792.37325261137,
connection,NN,have,V,41541,10328.5814619596,
connection,NN,in,P,121743,98366.9322088562,
connection,NN,make,V,38379,69733.680740232,
connection,NN,of,P,60257,-20179.3557418271,
connection,NN,with,P,178037,372446.333943351,
conquest,NN,of,P,21555,34266.6537040868,
conscience,NN,of,P,30847,35443.3288597659,
consciousness,NN,be,V,30812,-606.704420904506,
consciousness,NN,of,P,89210,116858.078328118,
consensus,NN,be,V,31771,14198.0927340023,
consensus,NN,of,P,21380,6784.15884320284,
consent,NN,be,V,26076,-1573.16957496246,
consent,NN,of,P,52411,47394.9458876664,
consent,NN,without,P,21799,88499.7770942274,
consequence,NN,as,P,58261,102881.861125838,
consequence,NN,be,V,63507,-5288.21761774115,
consequence,NN,for,P,44803,38521.5847466991,
consequence,NN,have,V,41271,29208.5124297272,
consequence,NN,in,P,34915,858.996437665521,
consequence,NN,of,P,256326,404624.175123959,
consequence,NN,with,P,22052,10341.991629333,
conservation,NN,for,P,20621,18308.4176981915,
conservation,NN,in,P,23483,10144.2255987995,
conservation,NN,of,P,50261,37864.189728985,
conservative,NN,be,V,23434,6136.43937340111,
consideration,NN,be,V,67108,-901.818113740577,
consideration,NN,for,P,67986,87804.2133110224,
consideration,NN,give,V,23727,63542.8334385591,
consideration,NN,in,P,33839,269.979513187067,
consideration,NN,into,P,53402,158493.739796749,
consideration,NN,of,P,115149,91314.1090344648,
consideration,NN,take,V,40020,108665.998206988,
consideration,NN,under,P,20901,63904.743647084,
consistency,NN,of,P,27930,26492.7540880459,
conspiracy,NN,of,P,26269,16345.5670333108,
conspiracy,NN,theory,NN,27817,172493.095505289,
constituency,NN,in,P,32303,52783.9883644126,
constituent,NN,of,P,23240,27722.309537659,
constitution,NN,of,P,30147,26327.4047468057,
constraint,NN,of,P,29236,17892.6013866604,
constraint,NN,on,P,20819,33702.0533206277,
construction,NN,be,V,57062,-27179.3318002513,
construction,NN,for,P,47241,29608.560099141,
construction,NN,in,P,72756,34396.6092805452,
construction,NN,industry,NN,20341,77898.9052603135,
construction,NN,of,P,223804,258906.06444759,
construction,NN,on,P,25861,8925.91276400095,
construction,NN,under,P,21384,59439.6893228458,
consultant,NN,be,V,26344,-6233.96523575319,
consultation,NN,be,V,37587,-10874.3664815363,
consultation,NN,for,P,24450,14000.171878223,
consultation,NN,in,P,47188,30402.0683672094,
consultation,NN,of,P,37883,-566.153399967221,
consultation,NN,on,P,42618,61760.7591302993,
consultation,NN,public,ADJ,22354,85952.7195403984,
consultation,NN,with,P,64781,120819.214620497,
consumer,NN,as,P,24676,10816.540076878,
consumer,NN,be,V,82016,-24271.8179092197,
consumer,NN,for,P,60654,42110.5740221902,
consumer,NN,have,V,28643,-3607.88792727599,
consumer,NN,in,P,46292,-7489.08656322306,
consumer,NN,of,P,96918,13329.4982057911,
consumer,NN,on,P,22821,860.145883610148,
consumer,NN,that,P,33221,16945.0539452739,
consumer,NN,with,P,26772,5207.17753996445,
consuming,NN,time,NN,28740,131972.018629124,
consumption,NN,be,V,26752,-12987.6837111983,
consumption,NN,energy,NN,25349,119627.23764468,
consumption,NN,for,P,30274,28159.0442014798,
consumption,NN,in,P,23419,2050.56238517591,
consumption,NN,of,P,75198,61252.8096901128,
contact,NN,be,V,75813,-42219.6901905979,
contact,NN,come,V,32539,71873.263172594,
contact,NN,detail,NN,36661,150205.154683542,
contact,NN,for,P,53421,20566.3241024793,
contact,NN,have,V,53883,17438.5601170641,
contact,NN,in,P,105840,51107.1928256695,
contact,NN,information,NN,42685,133346.264364723,
contact,NN,into,P,31366,55530.1158001752,
contact,NN,make,V,49453,93236.448469594,
contact,NN,of,P,84016,-15764.0997764962,
contact,NN,on,P,22191,-3830.41662255107,
contact,NN,please,V,38022,169390.003963348,
contact,NN,point,NN,20280,51764.3595682899,
contact,NN,with,P,259000,590951.103176591,
container,NN,in,P,25240,18615.1254481951,
container,NN,of,P,24808,6963.05684241836,
contamination,NN,of,P,25075,29855.6315140451,
contempt,NN,for,P,21380,45073.4611268556,
content,NN,as,P,20637,-1319.18606024741,
content,NN,be,V,136646,-14891.8288762296,
content,NN,for,P,63386,26293.2984413533,
content,NN,from,P,30484,15724.8200577465,
content,NN,have,V,23361,-15262.2553062566,
content,NN,in,P,64593,-9828.64745155654,
content,NN,of,P,344897,373659.33972632,
content,NN,on,P,55070,32771.8587048589,
content,NN,that,P,25323,-2150.40162871496,
content,NN,with,P,42313,13909.0593303564,
contest,NN,be,V,21637,-113.263125183581,
contest,NN,in,P,20692,13578.3715188312,
context,NN,be,V,48546,-32147.7022343104,
context,NN,for,P,27833,2044.15348126382,
context,NN,in,P,307588,581385.680536173,
context,NN,of,P,274416,366741.933463823,
context,NN,within,P,32333,109870.053524327,
continent,NN,of,P,23019,16630.1415931636,
continent,NN,on,P,28421,64788.5819735978,
continuation,NN,of,P,45820,94319.6187210588,
continuity,NN,of,P,31823,39906.586464128,
contract,NN,be,V,111614,-9437.62046339469,
contract,NN,for,P,69625,51206.7800952096,
contract,NN,have,V,34312,-1445.30630945515,
contract,NN,in,P,61973,2057.65074085003,
contract,NN,new,ADJ,21840,37229.0666723794,
contract,NN,of,P,129246,42475.1584164049,
contract,NN,on,P,34421,12113.7367722818,
contract,NN,sign,V,25371,113465.512672437,
contract,NN,that,P,21406,-560.588517220811,
contract,NN,under,P,23727,61795.8510666204,
contract,NN,with,P,85596,107853.945412146,
contractor,NN,be,V,27638,-3007.76444176991,
contrary,NN,on,P,53550,190886.491212475,
contrast,NN,be,V,27812,-10872.055851975,
contrast,NN,between,P,21251,72648.5015934361,
contrast,NN,by,P,60799,146571.577024874,
contrast,NN,in,P,170194,361945.608772829,
contrast,NN,with,P,29439,37562.3692888102,
contribution,NN,be,V,53760,-17896.1474546819,
contribution,NN,for,P,37821,22972.0691826915,
contribution,NN,from,P,37977,54860.5340072291,
contribution,NN,in,P,28642,-7344.93241009293,
contribution,NN,make,V,55415,142246.163730787,
contribution,NN,of,P,89630,39866.8539088698,
control,NN,as,P,27169,-10204.2207856234,
control,NN,at,P,20007,-10253.6887421539,
control,NN,be,V,168468,-81922.589224939,
control,NN,birth,NN,25051,103778.15722701,
control,NN,by,P,23653,-10170.1433666488,
control,NN,for,P,93283,20014.4589606091,
control,NN,from,P,22795,-8239.7813596758,
control,NN,group,NN,22709,43751.5542829555,
control,NN,have,V,101887,23721.6844705654,
control,NN,in,P,159425,26249.9465244538,
control,NN,lose,V,22493,57295.1098741359,
control,NN,more,ADJ,27659,28869.4058516837,
control,NN,of,P,514284,460938.810146924,
control,NN,on,P,51523,-2995.19336681767,
control,NN,over,P,141861,431624.969602879,
control,NN,panel,NN,20501,76904.3152160424,
control,NN,quality,NN,22543,57133.7618078164,
control,NN,remote,ADJ,28241,132291.841900243,
control,NN,system,NN,44745,106603.200082163,
control,NN,take,V,60469,104899.187025749,
control,NN,under,P,87318,270159.490373167,
control,NN,with,P,49731,-4793.99198766863,
controversy,NN,of,P,26624,15516.6336062292,
convenience,NN,for,P,27551,51787.9182292657,
convenience,NN,of,P,33306,34771.0824440538,
convention,NN,be,V,26001,-6933.93919103137,
convention,NN,in,P,22603,6766.74763635926,
convention,NN,of,P,53054,37828.4808428216,
convention,NN,on,P,23830,30001.8456567432,
conversation,NN,about,P,33783,77915.1622352344,
conversation,NN,be,V,50020,-19044.1433338471,
conversation,NN,have,V,51694,45189.4977382922,
conversation,NN,in,P,73994,53048.9957727286,
conversation,NN,of,P,66466,11303.2037572207,
conversation,NN,on,P,22834,10228.7495826188,
conversation,NN,with,P,101855,197638.976784961,
conversion,NN,be,V,24357,-5637.39437929055,
conversion,NN,of,P,49940,37608.6786745105,
conviction,NN,be,V,21288,-3250.29489645444,
conviction,NN,of,P,36808,24345.2733080265,
conviction,NN,that,P,22588,36509.7969080594,
cookie,NN,be,V,23748,1417.12744469569,
cooperation,NN,in,P,30323,27797.9164937143,
cooperation,NN,of,P,32126,17184.3017270635,
cooperation,NN,with,P,35541,70349.8673842834,
coordination,NN,of,P,20325,18676.9222718423,
copper,NN,of,P,20053,7881.74315426119,
copy,NN,be,V,66847,-29213.1301920708,
copy,NN,for,P,33766,5806.9829692529,
copy,NN,get,V,20500,29120.2355513201,
copy,NN,have,V,39339,10022.7862171365,
copy,NN,in,P,31458,-15246.4968376512,
copy,NN,make,V,20824,26366.9158822208,
copy,NN,of,P,488135,887279.890409883,
copy,NN,with,P,25409,5226.14566926216,
copyright,NN,be,V,26027,-4463.56034822447,
copyright,NN,law,NN,21019,91291.7391518757,
copyright,NN,of,P,41819,23805.127612889,
cord,NN,spinal,ADJ,21015,197109.479803786,
core,NN,at,P,35508,70084.1224150888,
core,NN,be,V,39584,-871.463799546602,
core,NN,of,P,98692,114293.846646653,
corn,NN,of,P,28871,13826.4301001409,
corner,NN,around,P,36255,147420.459908823,
corner,NN,at,P,30300,39334.7787614371,
corner,NN,be,V,26696,-24904.5602570766,
corner,NN,from,P,29862,38945.7051390225,
corner,NN,in,P,83285,75869.7896882309,
corner,NN,of,P,192938,253034.950452663,
corner,NN,on,P,39419,42166.6449683478,
cornerstone,NN,of,P,20712,43109.2274551904,
corporation,NN,be,V,36646,-3926.49275987267,
corporation,NN,of,P,35100,4081.18892283634,
correction,NN,of,P,20470,10958.5964795377,
correlation,NN,between,P,38119,190499.214089698,
correspondence,NN,of,P,21204,10321.2808038728,
corruption,NN,of,P,48305,46756.4761024384,
cos,NN,be,V,20494,17107.3044954516,
cost,NN,about,P,23776,10950.1900707683,
cost,NN,additional,ADJ,27098,86623.7192052205,
cost,NN,as,P,38101,-8079.39284877651,
cost,NN,associate,V,24478,79326.4835873111,
cost,NN,at,P,142212,181192.161190735,
cost,NN,be,V,226920,-82385.7525257865,
cost,NN,benefit,NN,22423,60830.4774052606,
cost,NN,by,P,35776,-6826.70516283675,
cost,NN,cover,V,33293,98978.0327248457,
cost,NN,cut,V,23811,72958.0286387523,
cost,NN,effective,ADJ,25483,79542.5454422865,
cost,NN,extra,ADJ,22968,76220.2286649733,
cost,NN,for,P,131284,50104.3680632133,
cost,NN,from,P,23853,-11705.5515192137,
cost,NN,have,V,36122,-35355.1827588201,
cost,NN,high,ADJ,57340,133205.817888452,
cost,NN,in,P,111702,-40851.4052934688,
cost,NN,include,V,23219,26914.4733602493,
cost,NN,increase,V,31696,82361.7120836095,
cost,NN,low,ADJ,91850,325068.096744229,
cost,NN,of,P,805855,943469.576733569,
cost,NN,on,P,56719,-7752.62860539351,
cost,NN,reduce,V,67975,251359.723285444,
cost,NN,rise,V,23835,79254.8829492563,
cost,NN,run,V,23366,44125.8576519281,
cost,NN,saving,NN,24453,103640.763084506,
cost,NN,than,P,21184,7814.27159594827,
cost,NN,that,P,44384,-12651.0615496703,
cost,NN,total,ADJ,36588,137153.220844071,
cost,NN,with,P,62231,-2912.80576959465,
cottage,NN,be,V,24368,4565.90128868437,
cottage,NN,in,P,21561,16625.5601091879,
couch,NN,on,P,22678,65733.2586041412,
council,NN,be,V,87890,-18616.8346385409,
council,NN,by,P,32968,27270.9539820727,
council,NN,city,NN,28906,110091.505406588,
council,NN,for,P,40939,12941.6983759752,
council,NN,have,V,57605,33853.7889493688,
council,NN,in,P,52666,-939.019925329186,
council,NN,local,ADJ,40790,143898.457330442,
council,NN,of,P,83225,13.7267248311534,
council,NN,on,P,30352,10253.5390053788,
council,NN,tax,NN,41443,188146.11330928,
council,NN,that,P,34170,18902.3333311203,
council,NN,with,P,23615,1983.07095352094,
councillor,NN,be,V,20445,-6436.80435373499,
counsel,NN,of,P,20091,6928.62660984436,
count,NN,be,V,24927,-6782.84342971694,
count,NN,of,P,55764,44588.4232544267,
count,NN,on,P,21859,26436.6481931661,
country,NN,European,ADJ,47471,180297.525888201,
country,NN,across,P,136914,512002.707353254,
country,NN,around,P,74117,212200.758724361,
country,NN,as,P,90744,27928.5181787002,
country,NN,at,P,33880,-17223.6533638555,
country,NN,be,V,369012,-82956.2490793201,
country,NN,by,P,57657,-3549.41387923346,
country,NN,develop,V,87814,271288.098376935,
country,NN,different,ADJ,35645,57857.3104396204,
country,NN,do,V,37794,-16584.4169437939,
country,NN,for,P,144653,18898.3841652253,
country,NN,foreign,ADJ,29211,96009.1458008208,
country,NN,from,P,123506,99504.5160914973,
country,NN,have,V,172282,40569.2903861478,
country,NN,home,NN,24836,36374.7581089871,
country,NN,if,P,20398,-4743.15313374134,
country,NN,in,P,966895,1396738.14326241,
country,NN,include,V,31822,35843.2520635098,
country,NN,into,P,38742,28324.9938294248,
country,NN,leave,V,24692,36721.9903076843,
country,NN,like,P,37635,38272.2824952496,
country,NN,make,V,21629,-4155.06570765264,
country,NN,many,ADJ,66743,99791.9438972306,
country,NN,most,ADJ,22292,29728.3740864011,
country,NN,most,ADV,25154,28003.3573570907,
country,NN,not,ADV,38095,-15015.0270303004,
country,NN,of,P,561019,258428.989814963,
country,NN,on,P,66793,-21452.111516343,
country,NN,other,ADJ,212348,502511.809882418,
country,NN,over,P,53031,81456.136952424,
country,NN,own,ADJ,33065,52782.0618517863,
country,NN,poor,ADJ,26937,75667.0536194766,
country,NN,such,ADJ,31432,31893.6759436217,
country,NN,than,P,29609,10532.8415765504,
country,NN,that,P,82011,-1561.44157640164,
country,NN,throughout,P,35718,106584.216149281,
country,NN,with,P,118084,29020.2528263138,
countryside,NN,in,P,28644,35188.4627052566,
county,NN,be,V,36157,-16803.701789002,
county,NN,for,P,20199,4948.02643282254,
county,NN,in,P,94492,113580.125767823,
county,NN,of,P,86550,58389.3920268198,
couple,NN,after,P,25460,38537.578696222,
couple,NN,be,V,112323,-78745.7608939338,
couple,NN,day,NN,77217,218268.041033227,
couple,NN,for,P,119978,78802.5719143723,
couple,NN,have,V,79948,14463.96823936,
couple,NN,hour,NN,42998,144582.477871354,
couple,NN,in,P,73207,-30970.0010498598,
couple,NN,just,ADV,24372,24475.8660809412,
couple,NN,last,ADJ,47572,121840.154595704,
couple,NN,married,ADJ,20794,109801.26642452,
couple,NN,minute,NN,26211,84566.3353064854,
couple,NN,month,NN,55608,187825.721618539,
couple,NN,next,ADJ,27484,68837.1768409949,
couple,NN,of,P,1003860,1762463.71933937,
couple,NN,on,P,25865,-14398.7628633238,
couple,NN,only,ADV,20108,23119.3314237169,
couple,NN,past,ADJ,23052,74598.1441182346,
couple,NN,time,NN,45311,68748.3316462117,
couple,NN,week,NN,92649,343794.486818076,
couple,NN,with,P,51341,6471.24423714612,
couple,NN,year,NN,135283,374131.088145925,
courage,NN,have,V,25107,38953.2502309746,
courage,NN,of,P,24498,13999.9349642568,
course,NN,action,NN,36061,87384.1797412094,
course,NN,as,P,40446,-21405.2494026318,
course,NN,at,P,58628,650.003078059389,
course,NN,be,V,538361,66738.1769499406,
course,NN,by,P,32315,-21633.9010777399,
course,NN,do,V,53161,-6728.29455919876,
course,NN,due,ADJ,33553,93175.5317494074,
course,NN,during,P,46113,95363.0604349339,
course,NN,for,P,134499,3891.99747274876,
course,NN,from,P,29805,-19220.542861216,
course,NN,golf,NN,56100,287701.744276454,
course,NN,have,V,91897,-38772.329968026,
course,NN,if,P,41718,18941.523991532,
course,NN,in,P,312834,89850.5474235959,
course,NN,include,V,23468,18608.2144636353,
course,NN,not,ADV,43245,-12812.48463905,
course,NN,of,P,2371210,4441548.27506872,
course,NN,offer,V,25452,43540.1214755836,
course,NN,on,P,114893,22094.1075106312,
course,NN,online,ADJ,23065,52992.6078732523,
course,NN,over,P,78485,149051.834449109,
course,NN,provide,V,20034,15540.1949266121,
course,NN,run,V,20595,28530.7712253646,
course,NN,take,V,44571,39141.0983048957,
course,NN,teach,V,27252,76017.2018986781,
course,NN,that,P,53513,-25413.1371458784,
course,NN,training,NN,40861,118741.970146747,
course,NN,with,P,57426,-28946.609109627,
court,NN,appeal,NN,23658,107823.649869491,
court,NN,as,P,21433,-5125.93404811346,
court,NN,at,P,26653,3941.490162119,
court,NN,be,V,110275,-59160.4609502436,
court,NN,before,P,21438,39793.2582837553,
court,NN,by,P,58351,49398.8541476786,
court,NN,case,NN,29239,71761.9503454406,
court,NN,district,NN,59224,315445.142014613,
court,NN,federal,ADJ,35941,160098.59628132,
court,NN,for,P,55133,3431.15439850393,
court,NN,have,V,71335,17827.5744501015,
court,NN,in,P,232801,213439.298955822,
court,NN,not,ADV,27577,4934.33192575372,
court,NN,of,P,174400,32859.7493671812,
court,NN,on,P,43989,6921.46632000302,
court,NN,order,NN,28955,81286.3623326707,
court,NN,that,P,90231,87763.847026913,
court,NN,trial,NN,36422,162251.160519295,
court,NN,with,P,29744,-7044.33948982961,
courtesy,NN,of,P,66720,118639.864838911,
cover,NN,be,V,55345,-9996.80287873502,
cover,NN,for,P,45427,41512.8912158872,
cover,NN,in,P,21565,-8993.37652444229,
cover,NN,of,P,90107,51659.0100633698,
cover,NN,on,P,42157,48904.2951691752,
cover,NN,with,P,20879,9490.11556888336,
coverage,NN,be,V,36001,-18531.2269656001,
coverage,NN,for,P,37243,30208.5192560714,
coverage,NN,in,P,30808,1096.50652883372,
coverage,NN,medium,NN,22473,98102.0443806611,
coverage,NN,of,P,117069,108990.967451854,
crack,NN,in,P,21524,22078.310808552,
craft,NN,of,P,30727,13411.6969877761,
crap,NN,be,V,30862,16630.9208342793,
crap,NN,of,P,27576,19105.2946813742,
crash,NN,in,P,27448,20858.4668748681,
crash,NN,of,P,24652,5248.61639662861,
cream,NN,ice,NN,79946,595961.712580519,
cream,NN,of,P,27712,2403.53049052228,
creation,NN,be,V,43961,-16463.0045087647,
creation,NN,for,P,28434,13697.6730545656,
creation,NN,in,P,45273,16344.5836249923,
creation,NN,job,NN,21369,80740.2015145922,
creation,NN,of,P,273514,470466.4263313,
creativity,NN,of,P,28885,20261.7338108589,
creator,NN,be,V,20513,1010.17372511849,
creator,NN,of,P,60184,83783.1178241994,
creature,NN,be,V,38866,7319.4840801865,
creature,NN,of,P,41911,22224.4618162574,
credibility,NN,of,P,28661,29486.1656373275,
credit,NN,bad,ADJ,26471,80642.9791021842,
credit,NN,be,V,96781,-44690.685698934,
credit,NN,card,NN,210950,1259777.03859698,
credit,NN,crunch,NN,20033,141136.274356171,
credit,NN,for,P,120434,126314.071551513,
credit,NN,get,V,20975,21994.4887587999,
credit,NN,give,V,34184,76187.4155173334,
credit,NN,have,V,32066,-11044.8430505313,
credit,NN,in,P,44139,-23869.1476957949,
credit,NN,of,P,117470,-178.094922340033,
credit,NN,on,P,41208,12250.0935993005,
credit,NN,rating,NN,24204,123952.692462118,
credit,NN,score,NN,22292,102722.944602817,
credit,NN,tax,NN,49283,215210.027552918,
credit,NN,union,NN,21658,93982.7156338785,
credit,NN,with,P,41962,13114.8528987498,
crew,NN,be,V,44211,1511.92921998476,
crew,NN,of,P,54406,27650.3122889316,
crime,NN,against,P,40234,133940.249438244,
crime,NN,be,V,107672,-6146.89349492116,
crime,NN,commit,V,53982,293233.052120562,
crime,NN,for,P,56555,33422.8221135408,
crime,NN,have,V,24429,-7778.75366447693,
crime,NN,in,P,75226,21847.4529109223,
crime,NN,of,P,172535,117486.738836327,
crime,NN,on,P,23672,970.04271623797,
crime,NN,violent,ADJ,20151,108357.294976247,
crime,NN,war,NN,33236,135742.808215489,
crime,NN,with,P,23545,770.711478590881,
criminal,NN,be,V,26455,7453.93641450702,
crisis,NN,be,V,59089,-9468.15376970581,
crisis,NN,economic,ADJ,33557,158345.743896721,
crisis,NN,financial,ADJ,55924,292265.576005147,
crisis,NN,have,V,22787,2481.38349014776,
crisis,NN,in,P,74294,57567.1430294402,
crisis,NN,of,P,85307,40392.7927655575,
criterion,NN,be,V,48159,2766.24077436393,
criterion,NN,for,P,64843,106786.355629124,
criterion,NN,meet,V,23508,101250.549240781,
criterion,NN,of,P,43186,9283.73660855695,
critic,NN,be,V,23851,-10624.7040293233,
critic,NN,of,P,53411,33502.1509565466,
criticism,NN,be,V,40552,-3898.0965815782,
criticism,NN,of,P,128552,170221.540885678,
critique,NN,of,P,56397,89645.6414808209,
crop,NN,be,V,38630,-7440.2970880493,
crop,NN,in,P,27576,4864.91591021008,
crop,NN,of,P,61582,33270.2434746214,
cross,NN,be,V,34166,-3864.36005542953,
cross,NN,of,P,43630,17361.7495773964,
cross,NN,on,P,29855,40748.4955693623,
crowd,NN,be,V,39930,-8432.77404718743,
crowd,NN,from,P,23657,32891.5913716982,
crowd,NN,in,P,38977,18348.8444025501,
crowd,NN,of,P,74846,51167.6232092984,
crown,NN,of,P,26142,23605.2502622127,
crunch,NN,credit,NN,20033,141136.274356171,
cry,NN,of,P,26058,23835.569443511,
culmination,NN,of,P,20709,46464.6795709552,
cult,NN,of,P,33090,36177.237318463,
culture,NN,as,P,21981,1288.70694705573,
culture,NN,be,V,101287,-35344.9035299696,
culture,NN,different,ADJ,22697,53122.2604373776,
